Country,CountryCode,Year,SuicideRate,SuicideRateRange
Angola,AGO,2017,21.0,[13.2-31.9]
Brazil,BRA,2017,9.9,[9.2-17.9]
Algeria,DZA,2017,1.9,[1.0-3.1]
Albania,ALB,2017,5.7,[2.9-9.0]
Chile,CHL,2017,8.4,[7.0-9.9]
,WB_LMI,2017,7.0,[5.3-9.4]
Madagascar,MDG,2017,9.3,[5.5-14.9]
South Sudan,SSD,2017,6.4,[3.6-10.9]
Bangladesh,BGD,2017,5.7,[3.6-8.6]
Belize,BLZ,2017,7.7,[5.7-10.2]
Argentina,ARG,2017,8.7,[7.1-10.4]
Tonga,TON,2017,6.4,[4.0-10.0]
Croatia,HRV,2017,17.5,[13.8-21.8]
Azerbaijan,AZE,2017,3.9,[2.3-6.1]
Egypt,EGY,2017,4.7,[2.1-9.2]
Iran (Islamic Republic of),IRN,2017,8.6,[6.4-10.9]
Colombia,COL,2017,4.5,[3.4-10.4]
Saudi Arabia,SAU,2017,8.2,[5.0-12.6]
Philippines,PHL,2017,4.1,[3.0-9.4]
United States of America,USA,2017,22.5,[21.3-29.0]
Czechia,CZE,2017,18.2,[15.6-20.9]
Slovenia,SVN,2017,14.3,[11.0-18.2]
Türkiye,TUR,2017,3.4,[2.4-4.9]
Antigua and Barbuda,ATG,2017,0.0,[0.0-0.0]
Kiribati,KIR,2017,55.4,[35.2-81.1]
Botswana,BWA,2017,22.3,[12.0-37.9]
Tonga,TON,2017,4.8,[2.9-7.5]
Denmark,DNK,2017,4.8,[3.7-6.1]
Poland,POL,2017,2.7,[2.3-3.2]
Cameroon,CMR,2017,7.6,[4.1-12.8]
Philippines,PHL,2017,1.3,[1.0-9.4]
Gabon,GAB,2017,24.5,[14.3-39.1]
Guyana,GUY,2017,39.9,[27.5-63.3]
,AFR,2017,11.7,[7.1-18.2]
Austria,AUT,2017,17.5,[15.0-20.2]
United States of America,USA,2017,6.5,[6.1-9.6]
Venezuela (Bolivarian Republic of),VEN,2017,2.2,[1.5-3.2]
Belgium,BEL,2017,20.8,[17.8-24.0]
Cambodia,KHM,2017,5.6,[3.4-8.7]
Uganda,UGA,2017,3.6,[2.2-5.7]
Democratic Republic of the Congo,COD,2017,20.1,[12.2-31.5]
Zambia,ZMB,2017,6.6,[3.9-10.6]
Montenegro,MNE,2017,16.3,[11.2-23.2]
Switzerland,CHE,2017,5.9,[4.7-7.1]
Morocco,MAR,2017,5.0,[2.5-9.4]
Antigua and Barbuda,ATG,2017,0.0,[0.0-0.0]
Turkmenistan,TKM,2017,6.2,[4.6-8.3]
Malta,MLT,2017,7.7,[5.8-9.9]
Romania,ROU,2017,7.8,[6.6-9.3]
Lesotho,LSO,2017,96.3,[35.2-181.9]
El Salvador,SLV,2017,6.2,[3.9-13.3]
Maldives,MDV,2017,3.1,[2.0-4.6]
Chad,TCD,2017,20.9,[12.2-32.6]
Chad,TCD,2017,7.3,[4.0-13.0]
Democratic People's Republic of Korea,PRK,2017,6.7,[3.7-10.8]
Viet Nam,VNM,2017,4.2,[2.6-6.6]
Bhutan,BTN,2017,3.2,[1.8-5.1]
Cabo Verde,CPV,2017,5.3,[3.3-8.1]
Turkmenistan,TKM,2017,3.0,[2.2-4.1]
Afghanistan,AFG,2017,6.3,[3.7-10.7]
Mongolia,MNG,2017,32.9,[20.2-50.8]
Netherlands (Kingdom of the),NLD,2017,6.0,[4.9-7.2]
Mexico,MEX,2017,5.9,[5.5-6.3]
Slovakia,SVK,2017,17.2,[11.9-36.5]
Estonia,EST,2017,15.2,[11.4-19.7]
Vanuatu,VUT,2017,8.8,[4.6-14.5]
China,CHN,2017,5.0,[4.1-5.9]
Samoa,WSM,2017,14.8,[8.0-23.5]
South Africa,ZAF,2017,10.3,[5.1-17.8]
Hungary,HUN,2017,5.3,[4.3-6.4]
Bahrain,BHR,2017,6.7,[4.2-9.7]
Pakistan,PAK,2017,4.9,[3.2-7.2]
Congo,COG,2017,11.9,[7.1-18.8]
Zimbabwe,ZWE,2017,15.0,[8.5-24.3]
Australia,AUS,2017,11.8,[10.0-18.8]
Antigua and Barbuda,ATG,2017,0.0,[0.0-0.0]
Lao People's Democratic Republic,LAO,2017,3.6,[2.0-5.8]
,WB_UMI,2017,4.2,[3.4-5.5]
Belize,BLZ,2017,1.7,[1.2-2.3]
Guinea,GIN,2017,12.5,[6.8-20.7]
Sierra Leone,SLE,2017,14.4,[7.8-24.2]
Guyana,GUY,2017,63.9,[44.7-102.8]
Brunei Darussalam,BRN,2017,1.0,[0.6-1.4]
Japan,JPN,2017,19.4,[18.7-20.1]
