Country,Happiness Score,Education Expenditure,Urban Population Proportion,Unemployment Rate,Life expectancy at birth (females),Life expectancy at birth (males),Average Life Expectancy,GDP per capita (current US$),Health Expenditure,Improved Water Access (%),Physicians Density,Safe Sanitation Access(%),Region,Suicide Rate
Norway,7.537000179,7.4,80.5,5.1,83.6,79.5,81.55,74185.5,9.7,98.15,4.4,64.34303832,Europe,10.333333333333334
Denmark,7.521999836,8.6,87.7,6.0,82.2,78.1,80.15,53149.3,10.8,99.6,3.6,91.36491906,Europe,8.333333333333334
Iceland,7.504000187,7.8,94.1,3.6,83.8,80.6,82.19999999999999,50936.0,8.9,99.35,3.8,78.81124984,Europe,11.6
Switzerland,7.493999958,5.1,73.9,4.6,84.8,80.5,82.65,80831.1,11.7,99.85,4.1,99.63774647,Europe,10.433333333333334
Finland,7.468999863,7.2,84.2,8.9,83.7,77.7,80.7,42148.1,9.7,93.7,3.0,84.09987264,Europe,14.4
Netherlands,7.376999855,5.5,90.5,5.6,83.1,79.4,81.25,44332.1,10.9,98.7,3.4,97.49010655,Europe,9.6
Canada,7.315999985,5.3,81.8,7.1,83.8,79.7,81.75,43205.6,10.4,99.5,2.5,83.5785755,America,11.700000000000001
New Zealand,7.31400013,6.4,86.3,5.5,83.1,79.5,81.3,38294.3,11.0,73.48560606060606,2.9,81.30071781,Oceania,12.200000000000001
Sweden,7.28399992,7.7,85.8,7.3,83.7,80.0,81.85,50687.5,11.9,99.4,4.1,94.78554161,Europe,12.5
Australia,7.28399992,5.2,89.4,5.5,84.4,80.2,82.30000000000001,51352.2,9.4,100.0,3.4,71.35875683,Oceania,11.799999999999999
Israel,7.212999821,5.8,92.1,5.9,83.7,80.0,81.85,37129.4,7.8,100.0,3.6,92.69180272,Asia,5.033333333333333
Costa Rica,7.078999996,7.2,76.8,8.6,81.7,76.7,79.2,11015.0,9.3,93.75,1.2,31.00045795,America,5.8
Austria,7.006000042,5.5,66.0,6.2,83.5,78.4,80.95,44117.7,11.2,100.0,5.2,99.63759412,Europe,10.966666666666667
Ireland,6.977000237,5.3,63.2,7.6,83.0,78.7,80.85,60513.6,7.8,91.0,2.8,82.45330285,Europe,9.333333333333334
Germany,6.951000214,5.0,75.3,4.2,82.9,77.9,80.4,41686.2,11.3,99.15,4.1,97.03491046,Europe,8.366666666666667
Belgium,6.890999794,6.6,97.9,8.3,83.0,78.0,80.5,40277.8,10.6,99.45,3.0,86.1781663,Europe,14.666666666666666
Luxembourg,6.862999916,4.1,90.2,5.6,83.4,78.8,81.1,100160.8,6.9,98.0,2.9,96.72498505,Europe,7.533333333333334
United Kingdom,6.714000225,5.7,82.6,5.0,82.8,79.0,80.9,44162.4,9.1,99.35,2.8,98.05412839,Europe,7.266666666666667
Chile,6.65199995,4.9,89.5,6.8,81.3,76.2,78.75,13416.2,7.8,95.45,,74.37180759,America,8.5
United Arab Emirates,6.647999763,,85.5,3.7,78.2,76.0,77.1,40438.8,3.6,96.6,1.6,95.87780128,Asia,4.366666666666666
Brazil,6.635000229,6.0,85.7,12.4,78.4,71.0,74.7,8528.3,8.3,69.75,1.9,45.85641823,America,6.3
Argentina,6.598999977,5.3,91.8,6.5,79.8,72.2,76.0,14564.5,4.8,97.25,3.8,77.44350518308042,America,8.866666666666667
Mexico,6.578000069,5.3,79.2,4.1,78.9,74.0,76.45,8980.9,6.3,81.25,2.1,50.0587208,America,5.966666666666666
Singapore,6.572000027,2.9,100.0,2.0,84.5,80.1,82.3,52239.0,4.9,100.0,1.9,100.0,Asia,7.3
Malta,6.52699995,7.8,95.4,5.4,82.0,78.6,80.3,23280.7,9.7,100.0,3.9,91.86797469,Europe,4.833333333333333
Uruguay,6.453999996,4.4,95.3,8.8,80.4,73.2,76.80000000000001,15573.8,8.6,94.6,,74.78774033442812,America,18.933333333333334
Guatemala,6.453999996,3.0,51.6,2.4,75.6,69.2,72.4,3903.5,6.2,63.4,,56.1003539684998,America,6.166666666666667
Panama,6.452000141,3.2,66.6,6.2,80.5,74.3,77.4,13268.1,8.0,70.75,1.6,60.48793360289133,America,3.233333333333333
France,6.441999912,5.5,79.5,9.8,85.0,78.8,81.9,36304.2,11.5,98.75,3.2,78.639709,Europe,10.533333333333333
Thailand,6.423999786,4.1,50.4,0.6,78.4,70.8,74.6,5814.8,4.1,93.0,,24.94249122,Asia,7.566666666666667
Spain,6.402999878,4.3,79.6,18.3,85.3,79.6,82.44999999999999,25865.4,9.0,99.9,3.8,95.6660506,Europe,5.833333333333333
Qatar,6.375,3.6,99.2,0.3,79.4,76.8,78.1,73653.4,2.2,98.0,2.0,97.2,Asia,3.9666666666666663
Colombia,6.356999874,4.5,76.4,10.5,77.4,70.2,73.80000000000001,6056.1,7.2,76.55000000000001,,17.86728223,America,4.566666666666667
Saudi Arabia,6.343999863,,83.1,5.5,75.6,72.7,74.15,20710.6,4.7,100.0,2.6,55.45596235,Asia,5.333333333333333
Trinidad and Tobago,6.168000221,,8.4,4.2,73.8,66.9,70.35,19062.9,5.9,91.5,,70.82338916499687,Caribbean,9.033333333333333
Kuwait,6.105000019,,98.3,2.2,75.5,73.5,74.5,29303.9,3.0,100.0,1.9,100.0,Asia,2.266666666666667
Slovakia,6.09800005,4.2,53.6,9.9,79.8,72.6,76.19999999999999,16082.5,8.1,98.80000000000001,3.4,74.67991264048702,Europe,9.799999999999999
Bahrain,6.086999893,2.7,88.8,1.3,77.5,75.6,76.55,22600.2,5.0,99.2,0.9,88.80685521,Asia,6.1000000000000005
Malaysia,6.084000111,5.0,74.7,3.3,77.1,72.6,74.85,9768.4,4.2,96.0,1.3,75.86281624,Asia,5.533333333333332
Nicaragua,6.071000099,,58.8,6.1,77.5,71.4,74.45,2086.9,9.0,66.1,0.9,54.89512600201577,America,4.833333333333333
Ecuador,6.007999897,5.0,63.7,5.8,78.4,72.8,75.6,6205.1,9.2,83.85,1.7,41.81090851,America,9.333333333333334
El Salvador,6.002999783,3.5,66.7,6.4,77.1,67.9,72.5,4219.4,6.8,71.2,,57.44868650287498,America,6.5
Poland,5.97300005,4.9,60.5,5.3,81.0,72.9,76.95,12355.5,6.4,97.1,2.3,90.15793759,Europe,11.166666666666666
Uzbekistan,5.971000195,,36.4,8.9,73.5,68.1,70.8,2308.3,5.8,100.0,2.5,74.46277001274217,Asia,9.0
Italy,5.964000225,4.1,69.0,11.4,84.7,79.9,82.30000000000001,30462.4,9.2,99.55,3.9,95.76461446,Europe,4.8999999999999995
Belize,5.955999851,6.4,44.0,11.5,72.7,67.2,69.95,4789.4,5.8,90.85,,68.87179394377242,America,7.766666666666667
Japan,5.920000076,3.6,93.5,3.0,86.4,80.0,83.2,34628.7,10.2,100.0,2.3,80.23911509,Asia,13.5
Lithuania,5.90199995,4.6,66.5,9.2,79.3,68.5,73.9,14383.7,6.6,90.0,4.3,93.35363524,Europe,24.233333333333334
Algeria,5.872000217,,70.7,11.4,76.5,74.1,75.3,4154.1,7.2,86.0,,18.29457734,Africa,2.533333333333333
Latvia,5.849999905,5.3,67.4,9.6,78.7,68.8,73.75,13704.1,5.9,86.15,3.2,76.5155682,Europe,17.599999999999998
Romania,5.824999809,3.1,54.6,7.1,78.4,71.4,74.9,9120.7,5.6,77.75,2.7,77.35901664,Europe,7.933333333333334
Turkmenistan,5.822000027,3.1,50.0,8.6,70.8,63.9,67.35,6996.7,2.1,73.48560606060606,2.3,57.483836253872624,Asia,6.266666666666667
Kazakhstan,5.818999767,2.8,53.2,5.6,73.9,64.3,69.1,10312.1,4.4,97.55,3.3,71.87520835727238,Asia,21.866666666666664
Slovenia,5.757999897,5.5,49.7,8.1,83.2,77.2,80.2,20689.8,9.2,99.1,2.8,68.07094176,Europe,14.433333333333332
Peru,5.715000153,4.0,78.6,5.3,76.8,71.5,74.15,6069.1,5.5,67.85,1.1,45.39758923,America,2.733333333333333
Mauritius,5.629000187,4.9,39.7,7.6,77.7,70.7,74.2,9040.9,4.8,93.25,,67.89955689514875,Africa,9.6
Cyprus,5.620999813,6.1,66.9,10.3,82.2,77.7,79.95,21941.9,7.4,100.0,2.5,76.99207458,Asia,3.3000000000000003
Estonia,5.611000061,5.5,67.5,7.2,81.2,71.8,76.5,17112.0,6.4,97.05,3.3,92.95386558,Europe,15.5
Belarus,5.568999767,4.9,76.7,0.5,77.7,66.5,72.1,5750.8,5.7,94.65,4.1,74.58773863,Europe,19.333333333333332
Libya,5.525000095,,78.6,19.2,74.4,68.8,71.6,5488.2,5.0,96.25,2.1,21.61655428,Africa,5.466666666666666
Turkey,5.5,4.8,73.4,10.8,78.1,71.5,74.8,9125.8,5.4,91.9,1.7,66.1403389436486,Asia,
Paraguay,5.493000031,5.0,59.7,5.5,74.9,70.7,72.80000000000001,4174.4,9.8,86.95,1.3,58.12856063,America,6.1000000000000005
Philippines,5.429999828,,44.4,5.9,72.1,65.4,68.75,2904.2,4.7,74.35,,57.0956432,Asia,2.6666666666666665
Serbia,5.394999981,4.2,55.6,15.5,77.5,71.8,74.65,5238.6,10.4,96.2,2.5,18.28920415,Europe,0.3333333333333333
